ds;uf;estado;regiao;additive_terms;additive_terms_lower;additive_terms_upper;multiplicative_terms;multiplicative_terms_lower;multiplicative_terms_upper;residuo;trend;trend_lower;trend_upper;yearly;yearly_lower;yearly_upper;yhat;yhat_lower;yhat_upper;populacao;y;y_100mil_hab;yhat_100mil_hab;yhat_lower_100mil_hab;yhat_upper_100mil_hab
2001-02-01;MA;Maranhao;Nordeste;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5835439;173,0;2,964644133886071;0,0;0,0;0,0
2001-02-01;MG;Minas Gerais;Sudeste;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;18309233;85,0;0,4642466453947033;0,0;0,0;0,0
2001-02-01;MS;Mato Grosso do Sul;Centro-Oeste;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2147828;69,0;3,21254774590889;0,0;0,0;0,0
2001-02-01;MT;Mato Grosso;Centro-Oeste;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2589670;104,0;4,015955700919422;0,0;0,0;0,0
2001-02-01;PA;Para;Norte;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6456599;217,0;3,3609025432739434;0,0;0,0;0,0
2001-02-01;PB;Paraiba;Nordeste;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3490192;73,0;2,0915754777960642;0,0;0,0;0,0
2001-02-01;PE;Pernambuco;Nordeste;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8171665;284,0;3,475423919115627;0,0;0,0;0,0
2001-02-01;PI;Piaui;Nordeste;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2897918;107,0;3,692305993475316;0,0;0,0;0,0
2001-02-01;PR;Parana;Sul;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9740608;185,0;1,8992654257311248;0,0;0,0;0,0
2001-02-01;RJ;Rio de Janeiro;Sudeste;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;14899149;1078,0;7,23531256718085;0,0;0,0;0,0
2001-02-01;RN;Rio Grande do Norte;Nordeste;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2865296;67,0;2,3383273490766747;0,0;0,0;0,0
2001-02-01;RO;Rondonia;Norte;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1418938;32,0;2,255207768063157;0,0;0,0;0,0
2001-02-01;RR;Roraima;Norte;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;345758;10,0;2,892196276008075;0,0;0,0;0,0
2001-02-01;RS;Rio Grande do Sul;Sul;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10332728;266,0;2,5743443551402883;0,0;0,0;0,0
2001-02-01;SC;Santa Catarina;Sul;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5503321;92,0;1,6717178590890847;0,0;0,0;0,0
2001-02-01;SE;Sergipe;Nordeste;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1843449;26,0;1,4103997452601076;0,0;0,0;0,0
2001-02-01;SP;Sao Paulo;Sudeste;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;38121004;1281,0;3,3603522089816944;0,0;0,0;0,0
2001-02-01;TO;Tocantins;Norte;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1200489;32,0;2,6655804426362923;0,0;0,0;0,0
2001-03-01;AC;Acre;Norte;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;596835;27,0;4,523863379325944;0,0;0,0;0,0
2001-03-01;AL;Alagoas;Nordeste;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2923724;110,0;3,7623250347844053;0,0;0,0;0,0
2001-03-01;AM;Amazonas;Norte;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2920792;253,0;8,662034133207705;0,0;0,0;0,0
2001-03-01;AP;Amapa;Norte;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;512606;12,0;2,3409792316125837;0,0;0,0;0,0
2001-03-01;BA;Bahia;Nordeste;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;13614282;695,0;5,1049331870751615;0,0;0,0;0,0
2001-03-01;CE;Ceara;Nordeste;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7682541;356,0;4,633883502867085;0,0;0,0;0,0
2001-03-01;DF;Distrito Federal;Centro-Oeste;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2133018;41,0;1,9221591191447986;0,0;0,0;0,0
2001-03-01;ES;Espirito Santo;Sudeste;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3226519;138,0;4,277055241267757;0,0;0,0;0,0
2001-03-01;GO;Goias;Centro-Oeste;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5154153;76,0;1,4745390755765302;0,0;0,0;0,0
2001-03-01;MA;Maranhao;Nordeste;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5843418;210,0;3,593787060929066;0,0;0,0;0,0
2001-03-01;MG;Minas Gerais;Sudeste;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;18327975;103,0;0,5619824339568337;0,0;0,0;0,0
2001-03-01;MS;Mato Grosso do Sul;Centro-Oeste;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2150916;69,0;3,2079355958112727;0,0;0,0;0,0
2001-03-01;MT;Mato Grosso;Centro-Oeste;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2593995;118,0;4,548967904718398;0,0;0,0;0,0
2001-03-01;PA;Para;Norte;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6467993;275,0;4,251705281684751;0,0;0,0;0,0
2001-03-01;PB;Paraiba;Nordeste;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3493284;117,0;3,3492839402693857;0,0;0,0;0,0
2001-03-01;PE;Pernambuco;Nordeste;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8179625;343,0;4,193346271986797;0,0;0,0;0,0
2001-03-01;PI;Piaui;Nordeste;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2900938;133,0;4,58472397548655;0,0;0,0;0,0
